patent,jurisdiction,assignee,status,filing_date,expiration_date,abstract
US9815201B2,US,,,,,
US08068650,US,,,,,
JP4878377B2,JP,,,,,
US06647735,US,,,,,
US7603412B2,US,,,,,
US5084674,US,,,,,
US4570264A,US,,,,,
US08738115,US,,,,,
US08958864,US,,,,,
US7633271B2,US,,,,,
US8778624B2,US,,,,,
US9663392B2,US,,,,,
US7804936B2,US,,,,,
US07553420,US,,,,,
US4570264,US,,,,,
US11490815B2,US,,,,,
US8022862B2,US,,,,,
US6738390B1,US,,,,,
US07511513,US,,,,,
US6322249,US,,,,,
CN109857395B,CN,,,,,
US07305282,US,,,,,
US06351513,US,,,,,
US8884213,US,,,,,
US9774198B2,US,,,,,
US7678268,US,,,,,
US20190188346A1,US,,,,,
US5384699,US,,,,,
US6198696,US,,,,,
US5599639A,US,,,,,
US08009900,US,,,,,
US5864755,US,,,,,
US7473364,US,,,,,
US7496954,US,,,,,
US6778882B2,US,,,,,
US9740819B2,US,,,,,
US08399072,US,,,,,
US7321803B2,US,,,,,
US4843280A,US,,,,,
US7536276,US,,,,,
EP2619879B1,EP,,,,,
US7603412,US,,,,,
US8805748,US,,,,,
US7927984B2,US,,,,,
US8121360,US,,,,,
US5872841A,US,,,,,
US5267564A,US,,,,,
CN102275131B,CN,,,,,
US7146139,US,,,,,
US5647360,US,,,,,
US06505237,US,,,,,
US07304259,US,,,,,
US09036878,US,,,,,
US7988357B2,US,,,,,
US4219873,US,,,,,
US5825869,US,,,,,
US07106222,US,,,,,
US9064300,US,,,,,
US8894857,US,,,,,
US7542756,US,,,,,
CN102859805B,CN,,,,,
US9996405,US,,,,,
US10809692,US,,,,,
US08625869,US,,,,,
US7949167,US,,,,,
CN110002304B,CN,,,,,
US9194925B2,US,,,,,
US8626533,US,,,,,
US6553131,US,,,,,
US9059927B2,US,,,,,
US08703931,US,,,,,
US09740819,US,,,,,
US6836142B2,US,,,,,
US06999996,US,,,,,
US5963612,US,,,,,
US8595171,US,,,,,
US5003975A,US,,,,,
US9774198,US,,,,,
US07383148,US,,,,,
US07889133,US,,,,,
US5309919,US,,,,,
US8958864B2,US,,,,,
US06788197,US,,,,,
US9668333,US,,,,,
US07949167,US,,,,,
US9189851,US,,,,,
US6888537,US,,,,,
US07804936,US,,,,,
US07164972,US,,,,,
US07718065,US,,,,,
US6058435A,US,,,,,
US6687877B1,US,,,,,
US8228657,US,,,,,
US8055778,US,,,,,
US6647735,US,,,,,
US11029030,US,,,,,
CN101143723B,CN,,,,,
US8591740B2,US,,,,,
US20160148372A1,US,,,,,
US07526364,US,,,,,
US6038516A,US,,,,,
US8462969,US,,,,,
US20140175009A9,US,,,,,
US6351513,US,,,,,
US5898668A,US,,,,,
US6594366B1,US,,,,,
US9190845,US,,,,2034-06-27,"A wind turbine park (242) connected to a transmission system (234). The wind turbine park includes a component (230) for determining a short circuit ratio and based thereon for determining a parameter adjustment recipe, and a controller (238) for controlling an output of the wind turbine park, the controller (238) executing a control algorithm using a determined parameter adjustment recipe, the determined parameter adjustment recipe responsive to the short circuit ratio and determined within the component (230) or within the controller (238)."
US6858070,US,,,,,
US5599639,US,,,,,
US09081073,US,,,,,
CN108600193B,CN,,,,,
US07858427,US,,,,,
US20180136910A1,US,,,,,
US10986107B2,US,,,,,
US20140376791A1,US,,,,,
CN101556307B,CN,,,,,
US7218249B2,US,,,,,
US7858427,US,,,,,
US7553420B2,US,,,,,
US08753277,US,,,,,
US5561703A,US,,,,,
EP0535379B1,EP,,,,2012-08-28,
US8335557,US,,,,,
US9741131B2,US,,,,2034-10-23,"Disclosed herein is a framework for facilitating image processing. In accordance with one aspect, the framework receives first image data acquired by a first modality and one or more articulated models. The one or more articulated models may include at least one section image acquired by the first modality and aligned with a local image acquired by a second modality. The framework may align an anatomical region of the first image data with the section image and non-rigidly register a first region of interest extracted from the section image with a second region of interest extracted from the aligned anatomical region. To generate a segmentation mask of the anatomical region, the registered first region of interest may be inversely mapped to a subject space of the first image data."
US6403067,US,,,,,
US06859747,US,,,,,
US8332061B2,US,,,,,
US7664482,US,,,,,
US6490252,US,,,,,
US20090123050A1,US,,,,,
US7526364,US,,,,,
US7931463B2,US,,,,,
US06509833,US,,,,,
US5966427,US,,,,,
US6487277B2,US,,,,,
US5870610A,US,,,,,
US08645507,US,,,,,
US09878017,US,,,,,
US6459776B1,US,,,,,
US6888537B2,US,,,,,
US6058435,US,,,,,
EP2479142B1,EP,,,,,
US7202814B2,US,,,,,
JP7150328B2,JP,,,,,
US07505817,US,,,,,
US5825869A,US,,,,,
US12159390,US,,,,2040-07-01,"A computing system may include an access engine and a defect detection engine. The access engine may be configured to access a slice contour of a given layer of a 3-dimensional (3D) object designed for manufacture through an additive manufacturing process and obtain hatch tracking for the slice contour, the hatch tracking representative of an energy path to melt metal powder for constructing the given layer through the additive manufacturing process. The defect detection engine may be configured to construct, from the slice contour, an as-built image for the given layer by rendering the hatch tracking in the slice contour; construct, from the slice contour, an idealized image for the given layer; and identify defects in the given layer via image analysis between the as-built image and the idealized image."
US6516326,US,,,,,
US5318572,US,,,,,
US5911123,US,,,,,
US7546127,US,,,,,
US6322249B1,US,,,,,
US6858070B1,US,,,,,
US5937040,US,,,,,
US07512450,US,,,,,
US7570738B2,US,,,,,
JP5684710B2,JP,,,,,
US09392958,US,,,,,
US6714643B1,US,,,,,
US06546087,US,,,,,
US6119006A,US,,,,,
US08595171,US,,,,,
US5242431A,US,,,,,
US8577655B2,US,,,,2031-01-04,"A system, method, and computer program product for creating a virtual numerical control (NC) controller for use in machine tool simulation. A method includes receiving a NC program readable by a physical machine tool, the NC program containing instructions for manipulating the physical machine tool. The method also includes parsing the instructions in the NC program. The method further includes receiving setup data, such as tools, reference coordinates systems, etc., from objects of a CAM system or in a setup data file. The method still further includes translating each instruction in the NC program into at least one virtual NC controller command. The method also includes executing the virtual NC controller commands in a machine tool simulation environment. In some embodiments, the method may include fetching data from a post-processor for the physical machine tool, where the fetched data is not available in the NC program."
US5423313,US,,,,,
US7953266B2,US,,,,,
US08022862,US,,,,,
US8249732,US,,,,,
US07672491,US,,,,,
US6370238B1,US,,,,,
US6532218,US,,,,,
US9184530,US,,,,,
US7927984,US,,,,,
US9036878,US,,,,,
US11672468B2,US,,,,,
US10490070B2,US,,,,,
US07953266,US,,,,,
US20150212505A1,US,,,,,
US07931463,US,,,,,
US6509833,US,,,,,
US07139685,US,,,,,
US20110223673A1,US,,,,,
US7184531,US,,,,,
US8476571B2,US,,,,,
CN101789191B,CN,,,,,
US08884213,US,,,,,
US9190845B2,US,,,,2034-06-27,"A wind turbine park (242) connected to a transmission system (234). The wind turbine park includes a component (230) for determining a short circuit ratio and based thereon for determining a parameter adjustment recipe, and a controller (238) for controlling an output of the wind turbine park, the controller (238) executing a control algorithm using a determined parameter adjustment recipe, the determined parameter adjustment recipe responsive to the short circuit ratio and determined within the component (230) or within the controller (238)."
US7633271,US,,,,,
US7006950,US,,,,,
US5864755A,US,,,,,
US7508979,US,,,,,
US07548833,US,,,,,
US6546087B2,US,,,,2021-02-16,"In an automated call management method and system, automated processing is used to collect customer information that enables skills-based call routing and a camp-on approach to efficiently handling calls. The customer information is preferably acquired through use of a web-compatible form that is submitted by the customer. The form includes information that identifies agent attributes that are considered advantageous to handling a particular call, includes the callback telephone number, and may include the time at which the callback should be initiated. In another embodiment, the information is acquired using interactive voice recognition techniques. After an agent queue is selected on the basis of a correlation between identified agent attributes and the skills of a particular agent or agent group, a camp-on request is generated to initiate a connection when an appropriate agent is available."
US7000422B2,US,,,,,
US09120851,US,,,,,
US06291763,US,,,,,
CN104793567B,CN,,,,2034-01-16,本申请公开了数控加工程序转换方法和装置，方法包括：提供可视化界面，所述界面上至少显示用于表征将源数控加工程序转换为目标数控加工程序的程序转换控件；接收所述程序转换控件被触发的信号，对所述信号提供基于对话框的响应，所述对话框上至少设有用于输入或选择源数控加工程序的源输入控件和用于触发程序转换功能的运行控件；接收所述运行控件被触发的信号，对输入的源数控加工程序进行转换，将转换结果写入目标数控加工程序。本申请通过提供可视化界面的自动转换，使用者只需通过界面输入已有的源数控加工程序，便可自动生成目标数控加工程序，解决了手工转换加工代码效率低、费时、易出错的问题。
US8543191,US,,,,,
JP5755150B2,JP,,,,2030-12-22,
CN104925067B,CN,,,,,
US6253909,US,,,,,
US20070208438A1,US,,,,2030-12-16,"A method includes receiving at a first computer at least one interpreted program over the Internet using a web-browser. The method further includes executing at the first computer at least one interpreted software program to display at least a first graphical element, each graphical element having characteristics dependent upon a status of a corresponding building control system device in a remote location. The method also includes transmitting to the first computer first information regarding a change in status of at least one building control system device, and then transmitting to the first computer second information regarding a subsequent change in status of at least one building control system device. The transmission of second information is provided in the absence of a request transmitted by the first computer for updated information."
US10452036B2,US,,,,,
US8954197,US,,,,2032-02-04,"An arrangement includes a computer server management system, a data management station of a building environmental control system and a data interface therebetween. The computer server management system is configured to coordinate the usage of a plurality of server computers, the computer server management system executing virtualization software configured to manage application processing on the plurality of server computers located in at least one data center. The data management station is operably coupled to controllers, sensors and actuators of the building environmental control system. The data management station is configured to provide at least some data via the data interface to the computer server management data system."
US7305282,US,,,,,
CN105579137B,CN,,,,,
CN105003958B,CN,,,,,
US6403069B1,US,,,,2020-10-20,"A clear antiperspirant and/or deodorant composition is disclosed in the form of an emulsion having a refractive index less than 1.42 and comprising: (a) 25-70% of an external phase comprising: (i) 0.1-10%, on an actives basis, of at least one elastomer which is a dimethicone/vinyldimethicone crosspolymer composition made by reacting a polymethylhydrogensiloxane with an alpha, omega-divinylpolydimethyl siloxane for which the dimethicone/vinyl-dimethicone crosspolymer composition is used at a concentration of 4-10% in cyclomethicone, has a refractive index in the range of 1.392-1.402 at 25 degrees C and a viscosity in the range of 0.013-1x104 Pascal seconds; (ii) 0.1-5% of a silicone copolyol having an HLB value <=8; (iii) 0.1-68% of a volatile silicone selected in an amount to complete the external phase; (iv) 0-10% of a cosurfactant or emulsifier having an HLB value in the range of 1-15; (v) 0-5% of a non-volatile silicone; and (b) 30-75% of an internal phase which is made with: (i) 7-25% (on an anhydrous actives basis (excluding the waters of hydration) of an antiperspirant active; (ii) 0-10% ethanol; (iii) additional water as required to adjust the refractive index; (iv) 0-5% of an antimicrobial agent; and (v) 0-5% of an ionizable salt; wherein the conductance of a water droplet applied to the surface of a thin film of the antiperspirant and/or deodorant composition is at least 250 micro Siemens/cm/ml as measured by a fixed geometry test at a loading of at least 7% by weight level of antiperspirant active."
US9163841,US,,,,,
US7931463,US,,,,,
US06489837,US,,,,,
US5431691A,US,,,,,
US09672631,US,,,,,
CN102081399B,CN,,,,2031-01-24,本发明是基于3G和风光互补供电技术的远程监控维护的方法及系统，包括可编程控制器PLC数据采集和控制，风光互补供电，3G无线通讯，远程监控维护。将风光互补新能源供电技术，3G网络通讯技术，自动化控制技术有机结合起来，实现对泵站的温度，压力，流量，水位，水质等数据的采集，对泵台进行现场监控。远程监控维护系统和PLC数据采集和控制系统采用集散式结构；远程监控维护系统对各PLC数据采集和控制系统的数据实时在线监控；3G无线通讯系统提供远程监控维护系统和PLC数据采集和控制系统流畅快捷地通讯；风光互补供电系统对PLC数据采集和控制系统提供电源供应。本方法及系统实现远程泵站的能源和数据传输操作的无线化。
US8332061,US,,,,2031-08-16,"A method for designing a prosthetic device includes acquiring a three-dimensional image of an anatomical surface. A rules script for automatically performing a plurality of image processing rules using a script interpreter is executed. For each particular rule of the plurality of rules, one or more anatomical features that are relevant to the particular rule using a surface shaping engine are determined, the one or more determined anatomical features are automatically segmented from the acquired three-dimensional image using a feature detector, and the particular image processing rule is performed on the acquired three-dimensional image based on the automatically segmented anatomical features using a CAD tool. A prosthetic device design is produced based on the three-dimensional image upon which the rules of the plurality of image processing rules have been performed."
US9805465,US,,,,2035-12-13,"The embodiments relate to an angiographic examination method for generating a 2D projection image. The method includes: (1) acquiring a volume dataset, (2) reconstructing a 3D volume from the volume dataset, (3) forward-projecting for generating a virtual vessel projection, (4) deriving a binary vessel mask, (5) acquiring at least one current 2D projection image, (6) combining the binary vessel mask with the at least one current 2D projection image to form a current mask, (7) thresholding the current mask to form a current binary mask, (8) back-projecting the current binary mask into the 3D volume to form a mask volume, (9) threshold value segmenting the mask volume in order to generate a final virtual vessel volume, and (10) subtracting a projection of the vessel volume from the current 2D projection images to generate a selective, overlay-free visualization of the body region of interest by selectable parameters."
CN103796766B,CN,,,,2032-09-14,本发明提供了制备功能化石墨烯纳米带的方法。这种方法包括：（1）在非质子溶剂存在下，将多个碳纳米管(CNT)暴露于碱金属源，其中所述暴露打开该碳纳米管；以及（2）将所述打开的CNT暴露于亲电体以形成功能化石墨烯纳米带(GNR)。这种方法还可包括将所述打开的CNT暴露于质子溶剂的步骤，以淬灭在所述打开的碳纳米管上的任何反应性物质。其它方法包括通过下述步骤来制备未功能化GNR：（1）在非质子溶剂存在下，将多个CNT暴露于碱金属源，以打开所述碳纳米管；以及（2）将所述打开的CNT暴露于质子溶剂以形成未功能化GNR。
US20080095212A1,US,,,,,
US6865450,US,,,,2022-12-28,"A method for schedule-based load estimation in a system including a utility energy provider and a utility energy consumer, comprises the steps of generating a near-term proposed schedule set containing at least one near-term proposed schedule for operation of power-consuming resources; monitoring energy consumption of the consumer for providing a set of historical consumption data; providing from priorly stored data a set of historical schedule data for the consumer; providing a set of historical unscheduled factors that affect the consumer's power consumption; providing a set of unscheduled factor predictions; and performing a correlation operation on the near-term proposed schedule set, the set of historical consumption data, the set of historical schedule data, the set of historical unscheduled factors, and the set of unscheduled factor predictions, for providing a respective near-term load estimate for each near-term proposed schedule in the near-term proposed schedule set."
US08516449,US,,,,,
US7804990,US,,,,2029-07-30,"A method for assigning a lymph node in a medical image with an anatomical name, the method including: identifying landmarks in a medical image; computing features relative to the landmarks given a location of a lymph node in the medical image; and assigning an anatomical name to the location of the lymph node by using a classifier that compares the computed features with classification rules."
US7156627B2,US,,,,,
US08894857,US,,,,,
US8958614,US,,,,2032-11-20,"Systems and methods are provided for detecting anatomical components in images. In accordance with one implementation, at least one anchor landmark is detected in an image. The position of the anchor landmark is used to detect at least one bundle landmark in the image. In accordance with another implementation, at least two neighboring landmarks are detected in an image, and used to detect at least one anatomical primitive in the image."
US09774198,US,,,,,
US7170024B2,US,,,,2020-07-31,"A method and apparatus for sorting articles to a delivery point sequence includes at least one article sorter adapted to sort articles and a conveying system operable to arrange and convey containers of articles sorted in a first sort pass to an induct of the article sorter for a second sort pass or process of the articles. The conveying system may include at least one transport conveyor and a plurality of zone conveyors or staging zones. The transport conveyor conveys trays from the discharge of the article sorter to the induct of the article sorter, and the zone conveyors are positioned along the transport conveyor. The conveying system is operable to arrange and accumulate trays in a sequenced manner on the transport conveyor. The transport conveyor is operable to discharge the sequenced trays to the induct of the article sorter."
US6459776,US,,,,,
US7526364B2,US,,,,,
US10273170,US,,,,2035-08-17,"A method reuses produced water resulting from a fossil fuel extraction operation. The method includes providing the produced water as an input to an electrodialysis system. The method also includes running the electrodialysis system to produce a diluate and a concentrate. The diluate is contaminated so as to have a conductivity of no less than 0.1 Siemens/meter. The method also includes reformulating the diluate to produce fossil fuel extraction fluid. The method also includes using the produced fossil fuel extraction fluid in the fossil fuel extraction operation. An electrodialysis system includes first and second stacks. The electrodialysis system also includes first and second voltage sources, coupled to the first and second stacks, so as to apply a first voltage to the first stack lower by at least about 10% than a second voltage to the second stack."
US9697586B2,US,,,,2034-03-18,"In a method and apparatus for generating an enhanced image for display from medical imaging data of a subject, a feature of interest in the imaging data elongated in at least one dimension is determined. A location of a line through the imaging data along the feature of interest is obtained, and a projection image along the line is generated from the imaging data."
US7447333B1,US,,,,2027-06-04,"We present, in exemplary embodiments of the present invention, novel systems and methods for syndromic surveillance that can automatically monitor symptoms that may be associated with the early presentation of a syndrome (e.g., fever, coughing, sneezing, runny nose, sniffling, rashes). Although not so limited, the novel surveillance systems described herein can be placed in common areas occupied by a crowd of people, in accordance with local and national laws applicable to such surveillance. Common areas may include public areas (e.g., an airport, train station, sports arena) and private areas (e.g., a doctor's waiting room). The monitored symptoms may be transmitted to a responder (e.g., a person, an information system) outside of the surveillance system, such that the responder can take appropriate action to identifying, treat and quarantine potentially infected individuals, as necessary."
US9163841B2,US,,,,,
JP4856738B2,JP,,,,,
US20100114383A1,US,,,,2030-11-25,"A building system includes a communication network, a plurality of wireless nodes, a plurality of passive wireless devices, a plurality of sensors, and a processing circuit. The wireless nodes are disposed within a building and are operably coupled to the communication network. Each passive wireless device is affixed to an object within the building, and contains first information regarding at least one property of the object. Each the passive wireless device is configured to communicate wirelessly to the wireless nodes using power derived from communication signals detected in the passive wireless device. The sensors are configured to generate second information representative of sensed temperature throughout the building, each sensor operably connected to the communication network. The processing circuit is operably coupled to receive the first information from the wireless devices and the second information from the sensors. The processing circuit is configured to generate control information regarding the building based on the first information and the second information."
CN105759718B,CN,,,,2036-03-21,本发明公开了一种数控机床热误差在线补偿方法及系统；采集数控机床关键测点温度数据，根据多元线性回归热误差模型计算数控机床理论热误差值，计算补偿值并判断是否满足设定的补偿阈值上下限范围。本发明通过构建多元线性回归热误差模型，将其作为数控机床热误差在线补偿子单元嵌入到面板控制单元的人机交互界面中，无需外置补偿器，极大的提高了系统的通用性；同时，利用模糊聚类分析方法和多元线性回归理论计算数控机床补偿值，并采用外部坐标变换方式执行在线补偿，操作便捷、实时性强。
CN102927952B,CN,,,,,
US6067516,US,,,,2017-05-09,"A system for automatically storing a message comprises a first telecommunication device for transmitting and/or receiving an audio message to a second telecommunication device. Both devices are coupled through a first network for transmitting and receiving telephone calls. A first data processing system with a speaker dependent data base and a second data processing system are provided, both are coupled through a second network for data communication. The first data processing system is coupled with the first telecommunication device and the second data processing system is coupled with the second telecommunication device. At least the first data processing system has a speech recognition system, the second telecommunication device has a control unit which generates a signal after receiving the audio message from said first telecommunication device and has a compare unit. Upon generating the signal the second data processing system converts the audio message into digital data and the compare unit compares the size of the digital data with the size of the data base, whichever is smaller is sent to the other data processing system, which converts the digital data into a text file."
CN101500943B,CN,,,,,
US6574672B1,US,,,,,
US8548231,US,,,,,
US8249732B2,US,,,,,
US8595171B2,US,,,,2031-08-01,"A system, method, and computer program for validating a rule set for applicable checks of a part, comprising querying a validation rule set; correlating a part data to said validation rule set; comparing a part against said part data; and whereby said part is approved at an event, and appropriate means and computer-readable instructions."
US6487277,US,,,,2017-09-19,"An improved prompting system for accessing specified functions in an interactive voice response (IVR) system. The IVR system (101) presents a plurality of prompts to callers. The prompts are typically presented in a predetermined order. However, the IVR system (101) improves the presentation by adjusting the presentation order based on a caller pattern of prompt selection. By monitoring incoming calls to determine what prompts are most frequently selected, the IVR system (101) can tailor the presentation order to the needs of individual users. The IVR system (101) can monitor either the selections made by all users or those made by a particular individual user over a configurable time period to establish the pattern of prompt selection."
US07678268,US,,,,,
US5703783,US,,,,2014-12-30,"The present invention comprises apparatus for identifying, intercepting and forwarding incorrectly addressed mailpieces having either a machine readable or non-machine readable address. The apparatus reads (either mechanically or manually) the addressee name and the mailpiece destination marking address for processing in a database and comparison to a list of names and former addresses in the USPS National Change of Address database of persons who have requested mail forwarding service. If the read name and address match a name and former address in the database, then the mailpiece is identified as having an incorrect address and intercepted from the mail stream. The apparatus then searches the NCOA database for a forwarding address and delivery point ZIP code corresponding to the address. The forwarding address and delivery point ZIP marking number are printed on the mailpiece in place of the incorrect address and the mailpiece is returned to the mail stream for delivery to the addressee."
US6528208B1,US,,,,,
CN102356517B,CN,,,,2030-02-04,一种具有高速差分电气连接器的电气互连系统。该连接器由薄片组装而成，每个薄片包含一列导电元件，其中一些导电元件形成差分对。通过在差分对的较短信号导体的边缘上提供轮廓，为至少一些差分对提供偏斜控制。该轮廓可以包含多个弯曲区段，弯曲区段有效地加长信号导体而不显著影响其阻抗。对于在相邻的信号导体对之间包括地导体的连接器，可以在信号导体和地导体的边缘上包括不同参数的图案化区段，以均衡当信号沿着每个对传播时存在共模或差模耦合的一组边缘中的所有边缘的电气长度。这种用于偏斜控制的特征可以与其它偏斜控制特征相结合使用。所使用的特征可以依据该对在该列内的位置而变化。
US8022862,US,,,,2029-12-21,"Pulse echo signals containing false echoes are processed by forming tracks of multiple received echoes and monitoring these tracks by a recursive filter such as a Kalman filter. A track velocity is estimated for each track, and the position of each the next echo on the track is predicted."
US5570372,US,,,,,
US9939503,US,,,,2034-09-23,"A cylindrical superconducting magnet system for use in magnetic resonance imaging has axially aligned primary superconducting coils surrounded by a thermal radiation shield within a vacuum vessel. A gradient coil assembly is axially aligned with and located radially within the primary superconducting coils. An assembly support is, radially positioned outside of the primary superconducting coils and is mechanically attached to the gradient coil assembly at a number of locations around the circumference of the gradient coil assembly, and at a number of axial locations along the gradient coil assembly, by radially-directed mechanical attachments that pass though through-holes through the vacuum vessel and the thermal radiation shield, and mechanically isolated from the vacuum vessel. At least some of the mechanical attachments each comprise an active force transducer arranged to provide impulses of force onto a surface of the gradient coil assembly to oppose vibrations of the gradient coil assembly."
CN107228610B,CN,,,,,
US11848411B2,US,,,,,
US20100070249A1,US,,,,2034-01-12,"A method and system for generating a patient specific anatomical heart model is disclosed. Volumetric image data, such as computed tomography (CT) or echocardiography image data, of a patient's cardiac region is received. Individual models for multiple heart components, such as the left ventricle (LV) endocardium, LV epicardium, right ventricle (RV), left atrium (LA), right atrium (RA), mitral valve, aortic valve, aorta, and pulmonary trunk, are estimated in said volumetric cardiac image data. A patient specific anatomical heart model is generated by integrating the individual models for each of the heart components."
US6636503,US,,,,2018-10-06,"A system (10) and method for accessing software applications residing on a telecommunications switch (12) is provided. The system (10) includes a communication server (14) that acts as a gateway between the switch (12) and remote clients (22, 26, 32). The client-server architecture of the system (10) permits concurrent connectivity and off-loads much of the processing demand from the switch (12) to the server (14) and/or clients (22, 26, 32). In addition, the communication server (14) can include a HTTP server (52) that allows a remote client to access switch applications using a conventional web browser."
EP0829172B1,EP,,,,,
US09064332,US,,,,,
US6714643,US,,,,,
US20120280224A1,US,,,,,"Metal oxide structures, devices, and fabrication methods are provided. In addition, applications of such structures, devices, and methods are provided. In some embodiments, an oxide material can include a substrate and a single-crystal epitaxial layer of an oxide composition disposed on a surface of the substrate, where the oxide composition is represented by ABO2 such that A is a lithium cation, B is a cation selected from the group consisting of trivalent transition metal cations, trivalent lanthanide cations, trivalent actinide cations, trivalent p-block cations, and combinations thereof, and O is an oxygen anion. The unit cell of crystal structure of the oxide composition can be characterized by first layer of a plane of lithium cations and a second layer of a plurality of edge-sharing octahedra having a B cation positioned in a center of each octahedron and an oxygen anion at each corner of each octahedron. The first layer and the second layer of the unit cell are alternatingly stacked along one axis of the unit cell. Other aspects, features, and embodiments are also claimed and described."
US9157976,US,,,,,
US5596263A,US,,,,2014-01-21,"An electrical apparatus (100) line actuator (102), such as a voltage regulator or circuit breaker, has resident therein a personality module, electronically reconfigurable memory device (126) which stores actuator operational information, such as specifications (132), historical and maintenance information. An apparatus controller (106) communicates with the personality module (126) and can change the operational information stored therein. If either or both of the controller (106) and actuator (102) is replaced at a site, the controller (106) of the replacement apparatus configuration (100) can read the operational information stored in the personality module (126) and adapt its operational interaction with the actuator (102) in conformance with the information."
US08520920,US,,,,,
US10997796B2,US,,,,,
US7343360B1,US,,,,,
US7718065B2,US,,,,,
US6038516,US,,,,,
EP2433113B1,EP,,,,2030-05-11,
US6185413,US,,,,,
JP6267675B2,JP,,,,,
US8703831,US,,,,,
US7226541B2,US,,,,,
US6185413B1,US,,,,,
US09741131,US,,,,,
US08655461,US,,,,,
US7935327,US,,,,,
US6529122,US,,,,,
US5908713,US,,,,,
US8626533B2,US,,,,,
US6553131B1,US,,,,2019-09-15,"An intelligent camera system and method for recognizing license plates, in accordance with the invention, includes a camera adapted to independently capture a license plate image and recognize the license plate image. The camera includes a processor for managing image data and executing a license plate recognition program device. The license plate recognition program device includes a program for detecting orientation, position, illumination conditions and blurring of the image and accounting for the orientations, position, illumination conditions and blurring of the image to obtain a baseline image of the license plate. A segmenting program for segmenting characters depicted in the baseline image by employing a projection along a horizontal axis of the baseline image to identify positions of the characters. A statistical classifier is adapted for classifying the characters. The classifier recognizes the characters and returns a confidence score based on the probability of properly identifying each character. A memory is included for storing the license plate recognition program and the license plate images taken by an image capture device of the camera."
US6449260,US,,,,,
US08948484,US,,,,,
US7436979,US,,,,,
US07257769,US,,,,,
US9888893B2,US,,,,2035-11-26,"In a method and tomosynthesis apparatus for combined dual-energy mammography and tomosynthesis imaging of a predetermined volume of an examination subject, while contrast agent is flowing through the volume, an x-ray source is set to radiate x-rays at low and high radiation energy. A pre-shot of the volume is obtained with the high radiation energy, and recording parameters for high-energy images, low-energy images, and low-energy tomosynthesis scans are obtained from the pre-shot. A high-energy image is then obtained, followed by operating the x-ray source at a low energy, and a low-energy tomosynthesis scan of the volume is executed using the recording parameters, and a two-dimensional low-energy image of the volume is generated during the low-energy tomosynthesis scan."
US20080015428A1,US,,,,,
US20200248261A1,US,,,,,
US7546127B2,US,,,,,
US6092114,US,,,,,
US8398946,US,,,,,
US5384699A,US,,,,2012-08-24,"A system including a method and apparatus for preventive maintenance of PET scanner photomultiplier detector blocks is disclosed. The quantitive comparisons used in the method of the present invention to provide an indication in the form of a display or printout advising the user that the photomultiplier block is stable, intermittently unstable, or drifting unstable, and also advising of the expected date of failure of a photomultiplier block in the PET scanner. The system alerts the user to replace the defective photomultiplier block prior to catastrophic failure in a scheduled preventative maintenance program, thus eliminating expensive and unscheduled downtime of the PET scanner due to photomultiplier failure. The apparatus for carrying out the method of the present invention preferably resides in the host computer controlling a PET scanner. It includes a memory adapted for storing a record of a number of iterative adjustments that are necessary to calibrate the gain of a photomultiplier detector block i at a time t0, a time t1 and a time T, where T>t1 >t0, which is designated as Histo(i,j(t)). The apparatus also includes a processor configured by a software program or a combination of programmed RAM and ROM devices to perform a number of calculations and operations on these values, and also includes a counter for analyzing each photomultiplier detector block i=1 through I of a PET scanner."
US5423313A,US,,,,,
US8462969B2,US,,,,,
US07808514,US,,,,,
US6501750B1,US,,,,,
US8625869B2,US,,,,,
US06741724,US,,,,,
US6999996,US,,,,,
US6697894B1,US,,,,,
US7702596B2,US,,,,,
CN102167326B,CN,,,,,
US11029030B2,US,,,,,
US10279549,US,,,,2033-08-22,"The disclosure relates to a fibre reinforced plastic composite material, including a vacuum assisted resin transfer moulded fibre reinforced plastic laminate prepared by use of a resin flow enhancing member, including a cavity with a first opening and a second opening as well as an resin flow adjusting arrangement for changing a resin flow cross section in a resin flow direction from the first opening to the second opening in the resin flow enhancing member by applying vacuum to the second opening. The resin flow adjusting arrangement includes a plurality of vacuum expandable filler elements that includes gas-filled closed cell cavities and flexible walls. The disclosure further relates to a vacuum assisted resin transfer moulding process for injecting resin from a resin flow enhancing member into a fibre stack."
US07903113,US,,,,,
US07718057,US,,,,,
US6292717B1,US,,,,,
US9711261B2,US,,,,,
US11137751,US,,,,,
US7949167B2,US,,,,2029-12-15,A method for training a computer system for automatic detection of regions of interest includes receiving patient records. For each of the received patient records a text field and a medical image are identified from within the patient record and the medical image is automatically segmented to identify a structure of interest. The text field is searched for one or more keywords indicative of a particular abnormality associated with the structure of interest. The medical image is added to a grouping representing the particular abnormality when the text field indicates that the patient has the particular abnormality and the medical image is added to a grouping representing the absence of the particular abnormality when the text field does not indicate that the patient has the particular abnormality. The groupings of medical images are used to automatically train a computer system for the subsequent detection of the particular abnormality.
US6104788A,US,,,,,
US7184802,US,,,,,
US7547174B1,US,,,,,
EP3455374B1,EP,,,,,
US9031614B2,US,,,,,
US07496954,US,,,,,
CN102432017B,CN,,,,,
US08159318,US,,,,,
US06403067,US,,,,,
US08663506,US,,,,,
US12268759B2,US,,,,,
US10309668,US,,,,,
US08055778,US,,,,,
CN103154314B,CN,,,,,
